Estado_civil;Residencia;Profesión;Casa;Genero;Edad;Ingresos;Tarjetas_credito;Educacion;Creditos_coche;Pago
2;2;3;3;1;36.22;Medio;5 o más;Bachillerato;2 o más;1
3;2;2;3;1;21.99;Medio;5 o más;Bachillerato;2 o más;1
4;2;1;2;2;29.17;Bajo;5 o más;Universitario;2 o más;1
5;4;3;2;1;32.75;Bajo;5 o más;Bachillerato;1 o ninguno;1
2;2;3;1;1;36.77;Medio;5 o más;Bachillerato;2 o más;1
1;5;5;1;2;39.32;Medio;5 o más;Bachillerato;2 o más;1
1;5;1;1;2;31.7;Medio;5 o más;Bachillerato;2 o más;1
2;5;2;2;2;34.72;Bajo;5 o más;Universitario;2 o más;1
2;2;1;2;1;31.53;Bajo;5 o más;Universitario;2 o más;1
4;3;2;2;1;24.78;Medio;5 o más;Bachillerato;2 o más;1
5;3;1;1;2;22.76;Bajo;5 o más;Bachillerato;2 o más;1
1;3;2;1;1;45.97;Bajo;5 o más;Universitario;2 o más;1
5;3;3;3;1;29.39;Medio;5 o más;Universitario;2 o más;1
2;5;1;3;1;29.21;Bajo;5 o más;Bachillerato;1 o ninguno;1
5;5;1;2;2;39.6;Bajo;5 o más;Universitario;2 o más;1
1;1;1;2;2;39.46;Bajo;5 o más;Bachillerato;2 o más;1
4;2;5;2;1;34.13;Bajo;5 o más;Bachillerato;2 o más;1
4;4;5;1;2;35.82;Medio;5 o más;Bachillerato;2 o más;1
4;1;1;3;2;35.97;Medio;5 o más;Bachillerato;2 o más;1
3;3;2;2;2;26.26;Alto;5 o más;Bachillerato;2 o más;1
3;4;1;2;2;21.52;Bajo;5 o más;Bachillerato;2 o más;1
2;1;2;3;1;29.23;Medio;5 o más;Universitario;2 o más;1
1;4;2;1;1;22.94;Bajo;5 o más;Bachillerato;2 o más;1
5;3;5;1;1;43.42;Medio;5 o más;Bachillerato;2 o más;1
2;5;3;1;1;20.16;Medio;5 o más;Universitario;2 o más;1
3;2;2;1;1;27.98;Medio;5 o más;Universitario;2 o más;1
3;3;3;3;2;29.49;Medio;5 o más;Bachillerato;2 o más;1
3;3;2;2;1;30.12;Medio;5 o más;Universitario;2 o más;1
3;4;2;2;1;25.43;Medio;5 o más;Bachillerato;2 o más;1
2;1;3;2;1;40.19;Bajo;5 o más;Bachillerato;1 o ninguno;1
1;2;3;2;2;20.52;Bajo;5 o más;Bachillerato;2 o más;1
