
ID;Edad;Experiencia;Ingreso;Postal;Familia;credito;educacion;cuenta de ahorros;servicios online;tarjeta de credito
3060;61;36;128;94550;1;2,6;1;0;1;0
1976;29;3;113;94132;2;0,2;1;0;1;1
161;29;0;134;95819;4;6,5;3;0;0;0
4398;48;23;19;90058;1;0,1;1;0;1;0
3193;65;39;35;94005;1;0,5;3;0;0;0
3675;42;16;38;93437;1;0,2;1;1;0;0
348;25;0;43;94305;2;1,6;3;1;1;1
1755;50;24;80;95616;4;4,9;1;0;1;0
182;36;12;10;93524;4;0,7;2;0;0;0
3314;48;24;24;91950;1;0,9;3;0;0;0
2426;54;30;78;92507;4;1,6;2;0;1;1
445;64;40;91;93106;2;0;3;0;1;1
2602;50;24;32;90277;1;1,4;3;0;0;0
3379;25;0;44;94536;4;0,6;2;0;0;1
4463;33;7;39;95630;4;0,8;1;0;1;1
4316;51;26;62;90024;4;1,8;3;0;1;0
158;41;17;83;94025;4;2,67;1;0;1;1
567;53;28;175;95060;3;3,6;3;0;1;1
257;26;0;99;92697;4;2,3;3;0;0;1
2576;42;16;41;90401;3;0,5;3;0;1;0
1931;56;29;51;94080;3;1;2;0;1;0
2717;41;17;34;92182;1;2;2;0;0;0
1273;64;39;83;95616;3;1,8;2;0;1;0
4045;36;11;9;90266;2;0,3;2;1;0;0
3451;29;4;14;94590;4;0,5;3;0;0;1
4197;49;25;13;95814;1;0,9;3;0;1;0
750;58;34;60;92008;4;1,6;2;0;0;1
782;56;32;158;94588;3;3,7;3;0;1;0
1562;46;20;73;93106;1;1,5;2;0;1;0
1121;34;8;38;94304;2;2;3;0;1;1
1779;27;3;32;94710;3;1;2;0;0;0
4693;59;35;32;92064;3;0,4;2;0;0;1
4562;59;33;59;91365;3;1,4;3;0;0;0
1938;51;25;181;95051;1;3,3;3;1;1;1
4973;58;32;41;93401;3;2,2;3;0;1;1
154;60;36;22;94551;2;1;1;1;1;1
4149;46;22;80;95747;4;2;3;0;1;0
1863;42;17;82;95616;1;3,7;3;0;1;0
2967;32;7;84;91320;3;0,6;2;0;1;1
619;63;37;42;91320;2;0,7;3;0;1;0
692;45;18;48;90025;3;2,5;2;0;1;1
4703;35;5;108;90630;2;2,75;3;1;0;0
2478;40;14;179;90025;1;2,6;3;0;1;1
3109;42;15;21;95678;3;1;2;0;1;0
2733;33;9;38;93106;1;2,1;3;0;0;0
2372;32;6;111;95014;2;1,5;3;0;0;0
793;41;16;98;93117;1;4;3;0;0;2
2268;38;13;168;92647;2;1,3;3;0;0;1
1030;41;17;20;94720;1;1,4;3;0;1;0
816;62;38;35;94596;1;1,9;2;0;0;0
2093;53;23;19;92673;4;0,4;3;0;1;0
4212;40;16;104;94301;2;1,8;2;0;0;0
