Edad;Ingresos;Tarjetas_credito;Educacion;Creditos_coche;Pago
36.22;Medio;5 o más;Bachillerato;2 o más;1
21.99;Medio;5 o más;Bachillerato;2 o más;1
29.17;Bajo;5 o más;Universitario;2 o más;1
32.75;Bajo;5 o más;Bachillerato;1 o ninguno;1
36.77;Medio;5 o más;Bachillerato;2 o más;1
39.32;Medio;5 o más;Bachillerato;2 o más;1
31.7;Medio;5 o más;Bachillerato;2 o más;1
34.72;Bajo;5 o más;Universitario;2 o más;1
31.53;Bajo;5 o más;Universitario;2 o más;1
24.78;Medio;5 o más;Bachillerato;2 o más;1
22.76;Bajo;5 o más;Bachillerato;2 o más;1
45.97;Bajo;5 o más;Universitario;2 o más;1
29.39;;;;2 o más;1
29.21;;;;1 o ninguno;1
39.6;;;;2 o más;1
39.46;;;;2 o más;1
34.13;;;;2 o más;1
35.82;;;;2 o más;1
35.97;;;;2 o más;1
26.26;;;;2 o más;1
21.52;;;;2 o más;1
29.23;Medio;5 o más;Universitario;2 o más;1
22.94;Bajo;5 o más;Bachillerato;2 o más;1
43.42;Medio;5 o más;Bachillerato;2 o más;1
20.16;Medio;5 o más;Universitario;2 o más;1
27.98;Medio;5 o más;Universitario;2 o más;1
29.49;Medio;5 o más;Bachillerato;2 o más;1
30.12;Medio;5 o más;Universitario;2 o más;1
25.43;Medio;5 o más;Bachillerato;2 o más;1
40.19;Bajo;5 o más;Bachillerato;1 o ninguno;1
20.52;Bajo;5 o más;Bachillerato;2 o más;1
22.76;Bajo;5 o más;Universitario;2 o más;1
32.9;Medio;5 o más;Universitario;2 o más;1
33.21;Medio;5 o más;Universitario;2 o más;1
27.98;Alto;5 o más;Universitario;1 o ninguno;1
20.99;Medio;5 o más;Bachillerato;2 o más;1
28.61;Medio;5 o más;Bachillerato;2 o más;1
20.79;Medio;5 o más;Universitario;2 o más;1
20.71;Medio;5 o más;Universitario;1 o ninguno;1
24.48;Bajo;5 o más;Universitario;2 o más;1
47.16;Medio;5 o más;Bachillerato;2 o más;1
24.68;Medio;5 o más;Universitario;2 o más;1
30.81;Alto;5 o más;Universitario;2 o más;1
20.89;Bajo;5 o más;Universitario;2 o más;1
21.05;Medio;5 o más;Bachillerato;2 o más;1
32.43;Medio;5 o más;Universitario;2 o más;1
31.35;Medio;5 o más;Universitario;2 o más;1
22.93;Medio;5 o más;Bachillerato;2 o más;1
35.15;Medio;5 o más;Universitario;2 o más;1
24.69;Medio;Menos de 5;Bachillerato;1 o ninguno;1
37.33;Bajo;5 o más;Universitario;2 o más;1
30.7;Medio;5 o más;Universitario;2 o más;1
32.92;Bajo;5 o más;Universitario;2 o más;1
23.85;Bajo;5 o más;Bachillerato;2 o más;1
46.77;Bajo;5 o más;Universitario;2 o más;1
27.91;Medio;5 o más;Universitario;2 o más;1
46.44;Medio;5 o más;Bachillerato;1 o ninguno;1
20.66;Bajo;5 o más;Universitario;2 o más;1
20.96;Bajo;5 o más;Bachillerato;1 o ninguno;1
24.45;Medio;5 o más;Universitario;2 o más;1
27.06;Bajo;5 o más;Universitario;2 o más;1
38.06;Bajo;5 o más;Bachillerato;2 o más;1
22.99;Medio;5 o más;Bachillerato;2 o más;1
22.37;Bajo;5 o más;Bachillerato;2 o más;1
26.21;Bajo;5 o más;Universitario;2 o más;1
36.45;Medio;5 o más;Universitario;2 o más;1
22.72;Medio;5 o más;Bachillerato;2 o más;1
33.28;Bajo;5 o más;Bachillerato;2 o más;1
28.15;Medio;5 o más;Universitario;2 o más;1
44.13;Medio;5 o más;Universitario;1 o ninguno;1
24.89;Bajo;5 o más;Bachillerato;2 o más;1
21.87;Medio;5 o más;Universitario;2 o más;1
28.23;Bajo;5 o más;Universitario;1 o ninguno;1
36.98;Medio;5 o más;Bachillerato;2 o más;1
24.16;Bajo;5 o más;Bachillerato;2 o más;1
35.67;Medio;5 o más;Bachillerato;2 o más;1
24.97;Bajo;5 o más;Bachillerato;2 o más;1
30.57;Medio;5 o más;Universitario;2 o más;1
20.38;Bajo;5 o más;Bachillerato;2 o más;1
32.67;Medio;5 o más;Bachillerato;2 o más;1
20.57;Bajo;5 o más;Universitario;2 o más;1
26.66;Bajo;Menos de 5;Universitario;1 o ninguno;1
30.8;Bajo;5 o más;Bachillerato;2 o más;1
29.84;Medio;5 o más;Bachillerato;2 o más;1
50.83;Bajo;5 o más;Universitario;2 o más;1
29.26;Bajo;5 o más;Bachillerato;2 o más;1
35.22;Medio;5 o más;Bachillerato;2 o más;1
35.82;Bajo;5 o más;Bachillerato;1 o ninguno;1
24.44;Medio;5 o más;Universitario;2 o más;1
23.4;Medio;5 o más;Universitario;2 o más;1
38.68;Medio;5 o más;Universitario;2 o más;1
21.86;Medio;5 o más;Bachillerato;2 o más;1
24.04;Bajo;5 o más;Universitario;2 o más;1
25.72;Medio;5 o más;Bachillerato;2 o más;1
26.81;Medio;5 o más;Bachillerato;2 o más;1
36.62;Medio;5 o más;Universitario;2 o más;1
29.05;Bajo;5 o más;Bachillerato;2 o más;1
30.77;Bajo;5 o más;Universitario;2 o más;1
22.17;Bajo;5 o más;Universitario;2 o más;1
42.93;Bajo;5 o más;Bachillerato;2 o más;1
26.79;Medio;Menos de 5;Universitario;1 o ninguno;1
24.24;Bajo;5 o más;Bachillerato;2 o más;1
25.82;Bajo;5 o más;Bachillerato;2 o más;1
20.74;Medio;5 o más;Universitario;2 o más;1
40.87;Medio;5 o más;Universitario;2 o más;1
52.95;Bajo;5 o más;Bachillerato;2 o más;1
25.35;Medio;5 o más;Bachillerato;2 o más;1
28.12;Bajo;5 o más;Bachillerato;2 o más;1
29.51;Bajo;5 o más;Universitario;2 o más;1
35.9;Bajo;5 o más;Bachillerato;2 o más;1
20.14;Medio;5 o más;Universitario;2 o más;1
23.23;Bajo;5 o más;Bachillerato;2 o más;1
44.82;Bajo;5 o más;Universitario;2 o más;1
43.57;Medio;5 o más;Bachillerato;2 o más;1
20.16;Medio;Menos de 5;Bachillerato;1 o ninguno;1
27.44;Bajo;5 o más;Bachillerato;2 o más;1
24.03;Bajo;5 o más;Universitario;2 o más;1
37.08;Medio;5 o más;Universitario;2 o más;1
25.79;Alto;5 o más;Bachillerato;1 o ninguno;1
24.8;Bajo;5 o más;Bachillerato;2 o más;1
31.75;Bajo;5 o más;Universitario;2 o más;1
38.72;Medio;5 o más;Bachillerato;1 o ninguno;1
24.12;Medio;5 o más;Bachillerato;2 o más;1
31.8;Bajo;5 o más;Universitario;2 o más;1
43.03;Bajo;5 o más;Bachillerato;2 o más;1
22.1;Medio;5 o más;Bachillerato;2 o más;1
26.8;Alto;5 o más;Bachillerato;2 o más;1
39.98;Alto;5 o más;Bachillerato;2 o más;1
31.48;Medio;Menos de 5;Universitario;1 o ninguno;1
23.64;Bajo;5 o más;Universitario;2 o más;1
33.18;Bajo;5 o más;Universitario;2 o más;1
40;Bajo;5 o más;Universitario;2 o más;1
23.45;Alto;5 o más;Universitario;2 o más;1
