edad;trabajo;est.civ;educacion;mora;balance;vivienda;prestamo;contacto;dia;mes;duracion;campana;pdias;previo;presultado;suscrito
30;Desempleado;Casado;primaria;no;1787;no;no;celular;19;Octubre;79;1;-1;0;desconocido;no
33;Servis;Casado;secundaria;no;4789;si;si;celular;11;Mayo;220;1;339;4;fracaso;no
35;Ejecutivo;Soltero;Superior;no;1350;si;no;celular;16;abril;185;1;330;1;fracaso;no
30;Ejecutivo;Casado;Superior;no;1476;si;si;desconocido;3;Junio;199;4;-1;0;desconocido;no
59;Obrero;Casado;secundaria;no;0;si;no;desconocido;5;Mayo;226;1;-1;0;desconocido;no
35;Ejecutivo;Soltero;Superior;no;747;no;no;celular;23;Febrero;141;2;176;3;fracaso;no
36;Independientes;Casado;Superior;no;307;si;no;celular;14;Mayo;341;1;330;2;otro;no
39;Tecnico;Casado;secundaria;no;147;si;no;celular;6;Mayo;151;2;-1;0;desconocido;no
41;empresario;Casado;Superior;no;221;si;no;desconocido;14;Mayo;57;2;-1;0;desconocido;no
43;Servis;Casado;primaria;no;-88;si;si;celular;17;abril;313;1;147;2;fracaso;no
39;Servis;Casado;secundaria;no;9374;si;no;desconocido;20;Mayo;273;1;-1;0;desconocido;no
43;admin.;Casado;secundaria;no;264;si;no;celular;17;abril;113;2;-1;0;desconocido;no
36;Tecnico;Casado;Superior;no;1109;no;no;celular;13;Agosto;328;2;-1;0;desconocido;no
20;Estudiante;Soltero;secundaria;no;502;no;no;celular;30;abril;261;1;-1;0;desconocido;si
31;Obrero;Casado;secundaria;no;360;si;si;celular;29;Enero;89;1;241;1;fracaso;no
40;Ejecutivo;Casado;Superior;no;194;no;si;celular;29;Agosto;189;2;-1;0;desconocido;no
56;Tecnico;Casado;secundaria;no;4073;no;no;celular;27;Agosto;239;5;-1;0;desconocido;no
37;admin.;Soltero;Superior;no;2317;si;no;celular;20;abril;114;1;152;2;fracaso;no
25;Obrero;Soltero;primaria;no;-221;si;no;desconocido;23;Mayo;250;1;-1;0;desconocido;no
31;Servis;Casado;secundaria;no;132;no;no;celular;7;Julio;148;1;152;1;otro;no
38;Ejecutivo;Divorciado;desconocido;no;0;si;no;celular;18;Noviembre;96;2;-1;0;desconocido;no
42;Ejecutivo;Divorciado;Superior;no;16;no;no;celular;19;Noviembre;140;3;-1;0;desconocido;no
44;Servis;Soltero;secundaria;no;106;no;no;desconocido;12;Junio;109;2;-1;0;desconocido;no
44;empresario;Casado;secundaria;no;93;no;no;celular;7;Julio;125;2;-1;0;desconocido;no
26;Emple_hogar;Casado;Superior;no;543;no;no;celular;30;Enero;169;3;-1;0;desconocido;no
41;Ejecutivo;Casado;Superior;no;5883;no;no;celular;20;Noviembre;182;2;-1;0;desconocido;no
55;Obrero;Casado;primaria;no;627;si;no;desconocido;5;Mayo;247;1;-1;0;desconocido;no
67;Retirado;Casado;desconocido;no;696;no;no;teléfono;17;Agosto;119;1;105;2;fracaso;no
56;Independientes;Casado;secundaria;no;784;no;si;celular;30;Julio;149;2;-1;0;desconocido;no
53;admin.;Casado;secundaria;no;105;no;si;celular;21;Agosto;74;2;-1;0;desconocido;no
68;Retirado;Divorciado;secundaria;no;4189;no;no;teléfono;14;Julio;897;2;-1;0;desconocido;si
31;Tecnico;Casado;secundaria;no;171;no;no;celular;27;Agosto;81;3;-1;0;desconocido;no
59;Ejecutivo;Casado;secundaria;no;42;no;no;celular;21;Noviembre;40;1;-1;0;desconocido;no
32;Ejecutivo;Soltero;Superior;no;2536;si;no;celular;26;Agosto;958;6;-1;0;desconocido;si
49;Tecnico;Casado;Superior;no;1235;no;no;celular;13;Agosto;354;3;-1;0;desconocido;si
42;admin.;Divorciado;secundaria;no;1811;si;no;desconocido;14;Mayo;150;1;-1;0;desconocido;no
78;Retirado;Divorciado;primaria;no;229;no;no;teléfono;22;Octubre;97;1;-1;0;desconocido;si
32;Obrero;Casado;secundaria;no;2089;si;no;celular;14;Noviembre;132;1;-1;0;desconocido;si
