NRO_VEC_COB;ESTADO_PDP;NRO_CUOTAS;MES;MES_1;MES_2;HORA;RESULTADOLLAMADA;DEUDA_TOTAL;ESTATUS;ACTIVACION;TIPOCONTACTO;MORA
>10;0;<24, 48];Febrero;0;245.26;15;PDP  Promesa De Pago;3816.34;BT;2012;CEF;1
<=10;0;>48;Febrero;612.69;611.54;9;PDP  Promesa De Pago;13620.5;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;0;0;16;TELF. NO CORRESPONDE;18968.5;BT;2013;CNE;0
>10;0;<24, 48];Febrero;46.85;74.26;19;MCT  Msj Con Terceros;2459.84;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;0;0;14;TELF. NO CORRESPONDE;6591.76;BT;2013;CNE;0
<=10;0;<24, 48];Febrero;371.11;0;7;MCF  Msj Con Familiar;9836.38;BT;2013;CNE;1
<=10;0;>48;Febrero;287.31;718.96;16;TAT sin contacto con Titular;26889.9;BT;2013;CNE;1
>10;0;>48;Febrero;728.67;366.12;9;MCF  Msj Con Familiar;5491.04;BT;2011;CNE;1
<=10;0;>48;Febrero;0;492.97;11;RPP  Recordar Promesa;14985.3;BT;2013;CEF;1
>10;0;>48;Febrero;648.31;670.51;12;MCT  Msj Con Terceros;18148.1;BT;2010;CNE;1
>10;0;<24, 48];Febrero;555.44;521.46;10;PDP  Promesa De Pago;15415.1;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;1401.76;0;20;MCF  Msj Con Familiar;9155.2;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;0;0;14;MCC  Msj Con Comp De Trab;4876.47;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;211.33;212.62;9;MCT  Msj Con Terceros;3146.65;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;693.66;0;11;PDP  Promesa De Pago;18535;BT;2012;CEF;1
<=10;0;<=24;Febrero;0;0;10;TELF. NO CORRESPONDE;1058.03;BT;2013;CNE;0
<=10;0;<=24;Febrero;467.04;0;12;TELF. NO CORRESPONDE;3791.15;BT;2012;CNE;1
>10;0;>48;Febrero;1897.53;0;9;MCF  Msj Con Familiar;14389.9;BT;2012;CNE;0
>10;0;<24, 48];Febrero;240.79;240.57;7;PDP  Promesa De Pago;3632.16;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;206.08;0;10;TELF. NO CORRESPONDE;3242.09;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;405.26;422.27;18;MCO  Msj Con Conyuge;9710.75;BT;2013;CEF;1
<=10;0;>48;Febrero;0;0;12;MCT  Msj Con Terceros;9094.24;BT;2011;CNE;1
>10;0;<24, 48];Febrero;363.14;363.01;7;MCT  Msj Con Terceros;4178.66;BT;2012;CNE;1
>10;0;<24, 48];Febrero;302.27;722.14;16;MCT  Msj Con Terceros;15190.9;BT;2012;CNE;1
<=10;0;<=24;Febrero;0;0;7;TELF. NO CORRESPONDE;25554.3;BT;2013;CNE;1
>10;0;<24, 48];Febrero;0;0;19;MCT  Msj Con Terceros;9615.35;BT;2010;CNE;0
>10;0;>48;Febrero;0;0;10;PDP  Promesa De Pago;8609.38;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;442.95;448.54;7;MCF  Msj Con Familiar;4628.75;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;1.69;526.97;19;MCT  Msj Con Terceros;9901.73;BT;2013;CNE;1
>10;0;>48;Febrero;374.46;374.63;10;MCT  Msj Con Terceros;5927.97;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;1.17;0;8;TELF. NO CORRESPONDE;11045.9;BT;2012;CNE;1
<=10;0;>48;Febrero;0;189.48;12;TELF. NO CORRESPONDE;18166.6;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;68.7;50.38;16;TELF. NO CORRESPONDE;24985.5;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;16;MCT  Msj Con Terceros;20544.2;BT;2012;CNE;0
>10;0;>48;Febrero;0;324.09;18;TAT sin contacto con Titular;55564.3;BT;2012;CNE;1
>10;0;<24, 48];Febrero;1418.66;1419.8;12;MCT  Msj Con Terceros;25832.1;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;0;0;13;PDP  Promesa De Pago;21595;BT;2012;CEF;1
>10;0;>48;Febrero;762.5;682.64;14;TELF. NO CORRESPONDE;10334.2;BT;2011;CNE;1
>10;0;<24, 48];Febrero;0;0;12;MCT  Msj Con Terceros;20898.2;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;699.62;0;13;MCT  Msj Con Terceros;12211.5;BT;2012;CNE;1
<=10;0;>48;Febrero;0;423.1;12;MCT  Msj Con Terceros;19821;BT;2013;CNE;0
>10;0;<24, 48];Febrero;0;0;10;MCT  Msj Con Terceros;4593.46;BT;2012;CNE;0
>10;1;<24, 48];Febrero;0;0;16;MCC  Msj Con Comp De Trab;6409.44;BT;2011;CNE;1
<=10;0;>48;Febrero;1209.62;614.19;16;MCF  Msj Con Familiar;13666.8;BT;2012;CNE;1
>10;0;>48;Febrero;1397.87;0;19;TELF. NO CORRESPONDE;40331.9;BT;2012;CNE;1
<=10;0;<24, 48];Febrero;0;795.75;10;MCT  Msj Con Terceros;15737;BT;2013;CNE;1
>10;0;<24, 48];Febrero;664.63;658.93;9;PDP  Promesa De Pago;13791.5;BT;2012;CEF;1
<=10;0;>48;Febrero;0;0;9;MCT  Msj Con Terceros;5777.9;BT;2010;CNE;1
>10;0;<24, 48];Febrero;0;153.89;15;MCT  Msj Con Terceros;1884.98;BT;2012;CNE;1
<=10;0;<=24;Febrero;632.01;637.7;17;PAR  Promesa Parcial;621.3;BT;2013;CEF;0
>10;0;>48;Febrero;1170.67;1165.31;9;MCF  Msj Con Familiar;14789.7;BT;2011;CNE;1
<=10;0;<=24;Febrero;0;0;9;PDP  Promesa De Pago;1731.19;BT;2012;CEF;1
>10;0;>48;Febrero;0;333.15;13;MCT  Msj Con Terceros;2994.43;BT;2010;CNE;1
<=10;0;>48;Febrero;735.75;0;16;MCT  Msj Con Terceros;16281.8;BT;2012;CNE;1
>10;0;>48;Febrero;1.72;0;10;PDP  Promesa De Pago;66469.5;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;263.74;264.18;14;MCT  Msj Con Terceros;3090.25;BT;2013;CNE;1
<=10;0;>48;Febrero;3047.2;0;9;MCO  Msj Con Conyuge;26481.1;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;8;MCT  Msj Con Terceros;20515;BT;2013;CNE;0
<=10;0;>48;Febrero;0;0;19;MCF  Msj Con Familiar;22994.3;BT;2013;CNE;0
>10;0;>48;Febrero;0;357.28;15;TAT  Tratamiento al Titu;5443.86;BT;2011;CEF;0
<=10;0;<24, 48];Febrero;0;0;18;TELF. NO CORRESPONDE;16525.5;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0;0;12;MCF  Msj Con Familiar;18654.2;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;0;503.93;8;PDP  Promesa De Pago;13167.5;BT;2013;CEF;1
>10;0;<24, 48];Febrero;651.18;1095.72;12;PDP  Promesa De Pago;19009.7;BT;2011;CEF;1
>10;0;>48;Febrero;0;0;17;MCS  Msj Con Secretaria;12496;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;253;254.08;16;TELF. NO CORRESPONDE;2739.17;BT;2012;CNE;1
>10;0;>48;Febrero;922.7;1393.47;14;TELF. NO CORRESPONDE;10292.9;BT;2012;CNE;1
>10;0;<24, 48];Febrero;0;0;7;PDP  Promesa De Pago;1577.7;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;348.65;0;8;TAT  Tratamiento al Titu;4922.87;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;228.77;232.68;20;TAT  Tratamiento al Titu;3037.76;BT;2012;CEF;1
>10;0;<24, 48];Febrero;198.05;228.74;12;MCF  Msj Con Familiar;8117.28;BT;2011;CNE;1
<=10;0;>48;Febrero;1725.94;0;9;TAT  Tratamiento al Titu;24734.5;BT;2013;CEF;1
>10;0;>48;Febrero;120.97;121;9;TELF. NO CORRESPONDE;1486.35;BT;2011;CNE;1
>10;0;<24, 48];Febrero;0;0;12;MCO  Msj Con Conyuge;1034.77;BT;2011;CEF;1
>10;0;<24, 48];Febrero;425.53;0;11;PAR  Promesa Parcial;2810.4;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;0;0;16;MCO  Msj Con Conyuge;12572.7;BT;2011;CEF;0
>10;0;<24, 48];Febrero;366.16;362.61;7;TAT  Tratamiento al Titu;1042.37;BT;2011;CEF;1
<=10;0;>48;Febrero;460.51;0;9;TELF. NO CORRESPONDE;7044.12;BT;2011;CNE;1
<=10;0;>48;Febrero;1899.59;0;18;MCF  Msj Con Familiar;62973.1;BT;2013;CNE;1
>10;0;>48;Febrero;0;0;12;PAR  Promesa Parcial;9310.3;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;0;0;14;TELF. NO CORRESPONDE;47253.7;BT;2011;CNE;1
>10;0;>48;Febrero;1424.89;0;17;TAT  Tratamiento al Titu;51194.3;BT;2011;CEF;1
<=10;0;<24, 48];Febrero;0;137.21;9;PDP  Promesa De Pago;73059.9;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;10;MCT  Msj Con Terceros;14537.4;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;20;MCT  Msj Con Terceros;49529.6;BT;2013;CNE;0
>10;0;>48;Febrero;108.32;355.44;15;MCT  Msj Con Terceros;3990.31;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;0;174;8;MCF  Msj Con Familiar;5361.23;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;0.52;0;14;PDP  Promesa De Pago;25731.5;BT;2013;CEF;1
<=10;0;<24, 48];Febrero;0;0;17;MCT  Msj Con Terceros;24952.8;BT;2012;CNE;0
<=10;0;<24, 48];Febrero;0;0;7;PDP  Promesa De Pago;10213;BT;2012;CEF;1
<=10;0;>48;Febrero;0;0;8;MCT  Msj Con Terceros;45741;BT;2013;CNE;1
<=10;0;>48;Febrero;0;358.43;8;TELF. NO CORRESPONDE;6662.66;BT;2012;CNE;1
<=10;0;<=24;Febrero;633.91;956.46;9;MCT  Msj Con Terceros;3196.97;BT;2013;CNE;1
<=10;0;>48;Febrero;0;0;7;TAT  Tratamiento al Titu;4069.57;BT;2010;CEF;0
>10;0;>48;Febrero;304.87;50.9;15;MCT  Msj Con Terceros;5109.12;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;0;0;14;MCT  Msj Con Terceros;28213.8;BT;2013;CNE;1
<=10;0;<24, 48];Febrero;82.91;303.95;14;TELF. NO CORRESPONDE;4285.29;BT;2012;CNE;1
>10;0;<24, 48];Febrero;939.91;108.24;16;PDP  Promesa De Pago;22292;BT;2012;CEF;1
<=10;0;<24, 48];Febrero;638.95;1281.45;7;PAR  Promesa Parcial;16359.7;BT;2012;CEF;1
<=10;0;<=24;Febrero;636.63;0;18;MCF  Msj Con Familiar;629.93;BT;2013;CNE;0
>10;0;<24, 48];Febrero;772.88;1163.29;19;MCF  Msj Con Familiar;4533.27;BT;2011;CNE;0
>10;0;>48;Febrero;434.94;0;12;MCF  Msj Con Familiar;7286.48;BT;2011;CNE;1
<=10;0;<24, 48];Febrero;0;0;17;MCT  Msj Con Terceros;12255.2;BT;2013;CNE;0
